# kent02: account_id=0x9672d402a8eab028646c5febea41eb73de28cea5 wallet_address=0x9672d402a8eab028646c5febea41eb73de28cea5
# 共 1500 条活动，按 ts 升序。净值/成交量规则：仅 SELL/REDEEM/CLAIM 计入净值；BUY/SELL/REDEEM/CLAIM 计入成交量；CLAIM 无 price 按 1。

ts	date	type	share	price	pnl_contrib	volume_contrib	running_net_value	transaction_hash	condition_id	token_id	title
1770153332	2026-02-03	DEPOSIT	999.090008	0.0000	0.0000	0.0000	0.0000	0x7ea46ea832533f3bf1c44b08c0876f5c679e8fc21f244a98ae57f465f784ea92			
1770175726	2026-02-04	BUY	100.0	0.9920	0.0000	99.2000	0.0000	0xe6310e001e86dd03e35f9c7dcd450fd326f4713d538b585a3e18f1f6853a1acd	0x7a01d4bb955afdb54b52652c1d14f3aff0700a410facd76837153931b91e4912	1455145537207406153482246223283164798684653791056376592425388423714913504545	Magic vs. Thunder: O/U 222.5
1770178100	2026-02-04	BUY	100.0	0.9990	0.0000	99.9000	0.0000	0xa29fe8afb18577b89ba441bdd5890772eff3c96f7fcab2b8e9b00ec1326febb7	0x50e2a67e2c6bc8fd7bdce8e4ffbbbb29046489f177651565713e64afc7522446	45982595813265920193715743572696494712468274621753779653561898575417033763472	Celtics vs. Mavericks: O/U 223.5
1770182128	2026-02-04	BUY	64.11111	0.9910	0.0000	63.5341	0.0000	0xdd70d32d1c15fe74593f062d0abb38fe9d071936d45e7bbac2642ee28f8cb6d9	0x0d892775e51b1e2deaa3cf0ae63a378edc3046d9362ca9ff99bf5bf3d23be10f	18155810999167430373228442550365874839031461335268460601838106053973304793418	Will EA say "Underperformance" during ea
1770183666	2026-02-04	REDEEM	100.0	0.0000	0.0000	0.0000	0.0000	0x5142ed3077f3ca131cd441bed2b7ad3699922b95856b193d64f631481a4e3a9c	0x7a01d4bb955afdb54b52652c1d14f3aff0700a410facd76837153931b91e4912		Magic vs. Thunder: O/U 222.5
1770183906	2026-02-04	REDEEM	100.0	0.0000	0.0000	0.0000	0.0000	0xd9a0ab9e749ad2cc8138e808bbc52b4630bbb0aec0de17112cd7ccbb173718e5	0x50e2a67e2c6bc8fd7bdce8e4ffbbbb29046489f177651565713e64afc7522446		Celtics vs. Mavericks: O/U 223.5
1770185736	2026-02-04	REDEEM	64.11111	0.0000	0.0000	0.0000	0.0000	0x4ae35bb0a893e9279cf0f0dae8ec078360a451291ccf187823c2e7b1751e51d0	0x0d892775e51b1e2deaa3cf0ae63a378edc3046d9362ca9ff99bf5bf3d23be10f		Will EA say "Underperformance" during ea
1770185890	2026-02-04	BUY	100.0	0.9990	0.0000	99.9000	0.0000	0x1a49ad0498d1dc169f2e54335ffe031893bf83700c78c41e5766fc912e8c2574	0xe6d5e92386fbcea4c2add71913c7bd787e4b838b2e71fa30c845f0a84e4fb34b	22101595963203727797292828117433146609764631297813429373976527943608596568763	Hull City AFC vs. Watford FC: O/U 4.5
1770187520	2026-02-04	BUY	100.0	0.9990	0.0000	99.9000	0.0000	0xe6d3619066a3d66f03650a38366ad04124c7e607fa7213044089d5fd0bda551e	0xa43afd7dc1c3fb6296ef5e668097ce64da84111373b19d1f9a9ae45b508e81dc	77687104854306824586117464805077108340666505230300923705400422968354030487833	Spread: Suns (-5.5)
1770188286	2026-02-04	REDEEM	100.0	0.0000	0.0000	0.0000	0.0000	0xa11e0dfd16040dfa6bf1beb4ac641475cde9caa9ef8ad344fb4089d3e1b10527	0xe6d5e92386fbcea4c2add71913c7bd787e4b838b2e71fa30c845f0a84e4fb34b		Hull City AFC vs. Watford FC: O/U 4.5
